Exec_Date,Data_Date,Market,Param_W,Param_V,Param_T(%),Param_VolLim(%),Signal_State,Weight_1x,Weight_2x,Weight_Safe,Safe_Name,CAGR,MDD,Sortino,Avg_Rebal
2026-05-14,2026-05-14,SNP,100,240,0.0,25,Bull (Mix),0.5,0.5,0,SHY (US Bond),13.16,-21.62,0.95,3.6
2026-05-14,2026-05-14,Nasdaq,100,170,0.0,25,Bull (Mix),0.5,0.5,0,SHY (US Bond),22.51,-22.14,1.26,4.9
2026-05-14,2026-05-14,KOSPI,190,120,0.0,30,Bull (Mix),0.5,0.5,0,KIWOOM 단기자금,20.18,-21.4,1.07,3.8
2026-05-14,2026-05-14,Global_Trinity_EqWeight,Mix,Mix,Mix,DownVol,Diversified (3 Asset),0.34,0.33,0.33,Mix,20.07,-17.91,1.59,12.3
2026-05-14,2026-05-14,Global_Trinity_RelMom,6M_Mom,Top1+Abs,Monthly,DownVol,Selected: KOSPI,0,0,0,Dynamic,31.9,-26.91,1.59,8.0
2026-05-15,2026-05-15,SNP,100,240,0.0,25,Bull (Mix),0.5,0.5,0,SHY (US Bond),13.21,-21.62,0.96,3.6
2026-05-15,2026-05-15,Nasdaq,100,170,0.0,25,Bull (Mix),0.5,0.5,0,SHY (US Bond),22.73,-22.14,1.27,4.9
2026-05-15,2026-05-15,KOSPI,190,120,0.0,30,Bear (Safe),0,0,1.0,KIWOOM 단기자금,20.12,-21.4,1.07,3.8
2026-05-15,2026-05-15,Global_Trinity_EqWeight,Mix,Mix,Mix,DownVol,Diversified (3 Asset),0.34,0.33,0.33,Mix,19.8,-17.94,1.56,12.2
2026-05-15,2026-05-15,Global_Trinity_RelMom,6M_Mom,Top1+Abs,Monthly,DownVol,Selected: KOSPI,0,0,0,Dynamic,31.08,-26.91,1.53,7.9
2026-05-18,2026-05-18,SNP,100,240,0.0,25,Bull (Mix),0.5,0.5,0,SHY (US Bond),13.39,-21.62,0.97,3.6
2026-05-18,2026-05-18,Nasdaq,100,170,0.0,25,Bull (Mix),0.5,0.5,0,SHY (US Bond),22.5,-22.14,1.26,4.9
2026-05-18,2026-05-18,KOSPI,190,120,0.0,30,Bear (Safe),0,0,1.0,KIWOOM 단기자금,20.34,-21.4,1.08,3.8
2026-05-18,2026-05-18,Global_Trinity_EqWeight,Mix,Mix,Mix,DownVol,Diversified (3 Asset),0.34,0.33,0.33,Mix,19.68,-17.95,1.54,12.2
2026-05-18,2026-05-18,Global_Trinity_RelMom,6M_Mom,Top1+Abs,Monthly,DownVol,Selected: KOSPI,0,0,0,Dynamic,31.1,-26.91,1.54,8.0
2026-05-19,2026-05-19,SNP,100,240,0.0,25,Bull (Mix),0.5,0.5,0,SHY (US Bond),13.54,-21.62,0.98,3.6
2026-05-19,2026-05-19,Nasdaq,100,170,0.0,25,Bull (Mix),0.5,0.5,0,SHY (US Bond),22.31,-22.14,1.25,4.9
2026-05-19,2026-05-19,KOSPI,190,120,0.0,30,Bear (Safe),0,0,1.0,KIWOOM 단기자금,20.44,-21.4,1.08,3.8
2026-05-19,2026-05-19,Global_Trinity_EqWeight,Mix,Mix,Mix,DownVol,Diversified (3 Asset),0.34,0.33,0.33,Mix,19.67,-17.93,1.54,12.2
2026-05-19,2026-05-19,Global_Trinity_RelMom,6M_Mom,Top1+Abs,Monthly,DownVol,Selected: KOSPI,0,0,0,Dynamic,31.08,-26.91,1.54,8.0
2026-05-20,2026-05-20,SNP,100,240,0.0,25,Bull (Mix),0.5,0.5,0,SHY (US Bond),13.45,-21.62,0.97,3.6
2026-05-20,2026-05-20,Nasdaq,100,170,0.0,25,Bull (Mix),0.5,0.5,0,SHY (US Bond),22.03,-22.14,1.24,4.9
2026-05-20,2026-05-20,KOSPI,190,120,0.0,30,Bear (Safe),0,0,1.0,KIWOOM 단기자금,20.34,-21.4,1.08,3.8
2026-05-20,2026-05-20,Global_Trinity_EqWeight,Mix,Mix,Mix,DownVol,Diversified (3 Asset),0.34,0.33,0.33,Mix,19.59,-17.93,1.54,12.2
2026-05-20,2026-05-20,Global_Trinity_RelMom,6M_Mom,Top1+Abs,Monthly,DownVol,Selected: KOSPI,0,0,0,Dynamic,31.05,-26.91,1.53,8.0
2026-05-21,2026-05-21,SNP,100,240,0.0,25,Bull (Mix),0.5,0.5,0,SHY (US Bond),13.51,-21.62,0.98,3.6
2026-05-21,2026-05-21,Nasdaq,100,170,0.0,25,Bull (Mix),0.5,0.5,0,SHY (US Bond),22.03,-22.14,1.24,4.9
2026-05-21,2026-05-21,KOSPI,190,120,0.0,30,Bear (Safe),0,0,1.0,KIWOOM 단기자금,20.36,-21.4,1.08,3.8
2026-05-21,2026-05-21,Global_Trinity_EqWeight,Mix,Mix,Mix,DownVol,Diversified (3 Asset),0.34,0.33,0.33,Mix,19.71,-17.93,1.55,12.2
2026-05-21,2026-05-21,Global_Trinity_RelMom,6M_Mom,Top1+Abs,Monthly,DownVol,Selected: KOSPI,0,0,0,Dynamic,31.05,-26.91,1.53,8.0
